Observation id	Dyad 9 A1C Foraging Dom ST							
								
Media file(s)								
								
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX010556.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX040556.MP4							
								
Observation date	2024-04-18 09:35:12							
								
Description								
								
Time offset (s)	0.000							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
1349.242	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Chases Female	Aggressive		POINT
1354.743	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Chases Female	Aggressive		POINT
1359.243	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Chases Female	Aggressive		POINT
1366.994	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Entry /Exit Pot	Reproductive		POINT
1384.244	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
1435.575	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Entry /Exit Pot	Reproductive		POINT
1442.575	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	bite female	Reproductive		POINT
1443.076	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Bite	Aggressive		POINT
1450.325	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	bite female	Reproductive		POINT
1459.075	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Chases Female	Aggressive		POINT
1472.833	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Foraging	Other		POINT
1474.577	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Mirror	Aggressive		POINT
1484.326	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Chases Female	Aggressive		POINT
1497.083	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Foraging	Other		POINT
1558.327	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Chases Female	Aggressive		POINT
1560.325	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Chases Female	Aggressive		POINT
1561.576	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Chases Female	Aggressive		POINT
1567.826	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Chases Female	Aggressive		POINT
1599.076	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	bite female	Reproductive		POINT
1608.075	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Entry /Exit Pot	Reproductive		POINT
1622.575	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Entry /Exit Pot	Reproductive		POINT
1647.833	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Foraging	Other		POINT
1728.326	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Chases Female	Aggressive		POINT
1735.826	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	bite female	Reproductive		POINT
1738.576	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Chases Female	Aggressive		POINT
1739.577	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Chases Female	Aggressive		POINT
1742.394	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Subordinate	bite female	Reproductive		POINT
1743.076	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Mirror	Aggressive		POINT
1763.576	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	bite female	Reproductive		POINT
1769.915	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Bite	Aggressive		POINT
1770.164	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Chases Male	Aggressive		POINT
1803.080	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Foraging	Other		POINT
1821.920	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Mirror	Aggressive		POINT
1857.169	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Bite	Aggressive		POINT
1866.670	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Entry /Exit Pot	Reproductive		POINT
1870.169	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
1872.083	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Foraging	Other		POINT
1888.169	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
1901.170	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Entry /Exit Pot	Reproductive		POINT
1919.083	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Foraging	Other		POINT
1949.894	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Subordinate	Flee	Other		POINT
1956.351	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Chases Female	Aggressive		POINT
1970.833	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Foraging	Other		POINT
2054.838	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Foraging	Other		POINT
2061.958	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Entry /Exit Pot	Reproductive		POINT
2093.989	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
2124.958	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Subordinate	Chases Female	Aggressive		POINT
