Observation id	Dyad.12.A2C.Nuzhat							
								
Media file(s)								
								
Player #1	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4							
Player #1	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX020555.MP4							
Player #1	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX030555.MP4							
Player #1	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX040555.MP4							
								
Observation date	2023-08-03 13:34:57							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
102.501	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	Chases Female	Aggressive		POINT
103.501	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	Chases Female	Aggressive		POINT
103.755	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	bite female	Reproductive		POINT
104.993	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
107.257	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	Chases Female	Aggressive		POINT
107.257	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	bite female	Reproductive		POINT
107.992	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
111.763	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
113.265	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
113.269	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	Chases Female	Aggressive		POINT
114.009	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	Chases Female	Aggressive		POINT
114.015	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	Chases Female	Aggressive		POINT
